antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['LUNCH BAG VINTAGE DOILY '],['LUNCH BAG RED RETROSPOT'],0.024560612888688597,0.05989184317260027,0.011041009463722398,0.44954128440366975,7.505884951781364,1.0,0.009570029088370116,1.707863151569776,0.8885956600242315,0.15039901780233272,0.41447299270971827,0.3169452095457025
['LUNCH BAG SUKI DESIGN '],['LUNCH BAG  BLACK SKULL.'],0.041279855790896804,0.04835511491662911,0.018521856692203697,0.44868995633187775,9.279058835977976,1.0,0.016525764521693003,1.7261519103690453,0.930647441664282,0.2604562737642586,0.4206767121752317,0.41586408347814763
['LUNCH BAG APPLE DESIGN'],['LUNCH BAG RED RETROSPOT'],0.03956737269040108,0.05989184317260027,0.017665615141955835,0.44646924829157175,7.4545918883295545,1.0,0.015295852262030507,1.6983846948445616,0.9015254891370963,0.21597796143250686,0.4112052451747269,0.370713931895974
['JUMBO BAG VINTAGE LEAF'],['JUMBO BAG RED RETROSPOT'],0.035060838215412345,0.0740423614240649,0.015637674628210904,0.44601542416452444,6.023787134638343,1.0,0.013041687373234677,1.6714502153412474,0.8642943626644759,0.16730954676952747,0.4017171490831166,0.32860722516808083
['HAND OVER THE CHOCOLATE   SIGN '],['COOK WITH WINE METAL SIGN '],0.02672374943668319,0.027625056331680938,0.011897251013970257,0.44519392917369305,16.11558448346533,1.0,0.011159005930388157,1.7526393361559671,0.9637019942444308,0.2802547770700637,0.42943195478353097,0.43793138546776006
"['LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT']",['LUNCH BAG WOODLAND'],0.023569175304191076,0.03780982424515548,0.010455159981973862,0.4435946462715105,11.732258880530177,1.0,0.009564013606119139,1.7292971199992568,0.9368456002533649,0.2053097345132743,0.42173037332044483,0.3600571562704394
['HOT WATER BOTTLE TEA AND SYMPATHY'],['HOT WATER BOTTLE KEEP CALM'],0.02334384858044164,0.032717440288418206,0.010319963947724201,0.44208494208494215,13.512210557665105,1.0,0.009556212975691725,1.7337452108325242,0.9481257687056407,0.22561576354679805,0.42321397991356996,0.37875596966506064
['72 SWEETHEART FAIRY CAKE CASES'],['60 TEATIME FAIRY CAKE CASES'],0.022757999098693103,0.02992338891392519,0.010049571879224875,0.4415841584158416,14.757157342240248,1.0,0.009368575421291922,1.7371939312002402,0.9539461780011601,0.2357293868921776,0.42435902978944184,0.3887137659549087
['LUNCH BAG VINTAGE LEAF DESIGN'],['LUNCH BAG RED RETROSPOT'],0.02708427219468229,0.05989184317260027,0.011942316358720144,0.4409317803660565,7.362134090536339,1.0,0.010320189375992214,1.6815625067061521,0.8882267961409417,0.15915915915915915,0.40531499958404654,0.32016491200394626
['JUMBO BAG STRAWBERRY'],['JUMBO BAG PINK POLKADOT'],0.030058584948174854,0.039837764758900406,0.013249211356466877,0.4407796101949025,11.064366007041727,1.0,0.012051744520316062,1.7169657128842182,0.9378089757484557,0.23389021479713606,0.41757718718787606,0.3866793978576323
['COOK WITH WINE METAL SIGN '],['PLEASE ONE PERSON METAL SIGN'],0.027625056331680938,0.03172600270392068,0.01216764308246958,0.44045676998368677,13.883147337980128,1.0,0.01129121047059471,1.7304721875874536,0.9543337470111349,0.25787965616045844,0.42212304411886853,0.41198974862820703
['LUNCH BAG WOODLAND'],['LUNCH BAG CARS BLUE'],0.03780982424515548,0.044569625957638574,0.01662911221270843,0.4398092967818832,9.867915364600595,1.0,0.014943942488577795,1.7055448591947686,0.9339749006126657,0.25291295407813574,0.41367710464553503,0.4064567211917505
